Altium Designer Pick and Place Locations
C:\Users\Sasa\Desktop\git\_public_sk_repos\OpenFanController\Hardware\Altium_Source_Files\Project Outputs for OpenFAN_PC_PI\Pick Place\2023-10-30_10-14_OpenFAN_PC_PI_Pick Place.csv

========================================================================================================================
File Design Information:

Date:       30-10-23
Time:       10:14
Revision:   e7e3896cfef5e60772060f9f979606a94bf80446
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R17","Res","TopLayer","0603","-7.8740mm","61.2140mm","180","Resistor"
"R16","Res","TopLayer","0603","-7.8740mm","59.6900mm","180","Resistor"
"P3","1546215-4","TopLayer","TE_1546215-4","1.5240mm","62.1030mm","90","4 Position Wire to Board Terminal Block Horizontal with Board 0.100" (2.54mm) Through Hole"
"F3","Fuse Thermal","TopLayer","0603","-7.8740mm","58.2930mm","180","Thermal Fuse"
"U5","AP63203WU-7","TopLayer","SOT95P270X145-6N-SOT-236","-49.4030mm","63.7540mm","0","Buck Switching Regulator IC Positive Fixed 3.3V 1 Output 2A SOT-23-6 Thin, TSOT-23-6"
"P2","USB Connector","TopLayer","Amphenol_FCI_10118192-0001LF","-62.5515mm","75.6770mm","270","Micro USB Connector"
"L1","Inductor","TopLayer","INDC3218X20N","-49.4030mm","66.8020mm","180","Inductor"
"C27","Cap","TopLayer","0805","-45.0850mm","61.9760mm","0","Capacitor"
"C26","Cap","TopLayer","0805","-45.0850mm","59.9440mm","0","Capacitor"
"C25","Cap","TopLayer","0603_-_CAP","-49.3350mm","61.1560mm","180","Capacitor"
"C24","Cap","TopLayer","0603_-_CAP","-49.3350mm","59.6580mm","180","Capacitor"
"R15","Res","TopLayer","0603","-23.9822mm","59.3386mm","180","Resistor"
"C23_FCN10","Cap","TopLayer","0603_-_CAP","-49.2760mm","40.5130mm","180","Capacitor"
"C23_FCN9","Cap","TopLayer","0603_-_CAP","-37.7190mm","40.5130mm","180","Capacitor"
"C23_FCN8","Cap","TopLayer","0603_-_CAP","-25.2730mm","40.5130mm","180","Capacitor"
"C23_FCN7","Cap","TopLayer","0603_-_CAP","-12.7000mm","40.5130mm","180","Capacitor"
"C23_FCN6","Cap","TopLayer","0603_-_CAP","-0.5080mm","40.3860mm","180","Capacitor"
"C23_FCN5","Cap","TopLayer","0603_-_CAP","-6.0960mm","72.8980mm","0","Capacitor"
"C23_FCN4","Cap","TopLayer","0603_-_CAP","-18.6690mm","72.8980mm","0","Capacitor"
"C23_FCN3","Cap","TopLayer","0603_-_CAP","-31.1150mm","72.8980mm","0","Capacitor"
"C23_FCN2","Cap","TopLayer","0603_-_CAP","-42.5450mm","72.8980mm","0","Capacitor"
"C23_FCN1","Cap","TopLayer","0603_-_CAP","-49.0220mm","72.8980mm","0","Capacitor"
"C2","Cap","TopLayer","0603_-_CAP","-46.1010mm","64.3890mm","270","Capacitor"
"C1","Cap - 220uF 20V","TopLayer","Capacitor_-_8mm_Radial_Can_-_SMT","-46.8630mm","51.8160mm","90","220 µF 20 V Aluminum - Polymer Capacitors Radial, Can - SMD 29mOhm 2000 Hrs @ 125°C"
"P5","1546215-4","TopLayer","TE_1546215-4","1.5000mm","49.5300mm","90","4 Position Wire to Board Terminal Block Horizontal with Board 0.100" (2.54mm) Through Hole"
"P1","SATA Power","TopLayer","SATA-Power_SMT","-59.0000mm","54.8170mm","270",""
"R6","Res","TopLayer","0603","-34.0360mm","47.4980mm","180","Resistor"
"C5","Cap","TopLayer","0603_-_CAP","-40.7670mm","55.3720mm","0","Capacitor"
"C6","Cap","TopLayer","0603_-_CAP","-40.7670mm","56.8960mm","0","Capacitor"
"U1","W25Q32JVZPIQ","TopLayer","SON127P600X500X80-9N","-38.9890mm","49.7840mm","90","FLASH - NOR Memory IC 32Mbit SPI - Quad I/O 133 MHz 8-WSON (6x5)"
"C20","Cap","TopLayer","0603_-_CAP","-39.6240mm","66.9290mm","270","Capacitor"
"C19","Cap","TopLayer","0603_-_CAP","-24.0076mm","62.3866mm","180","Capacitor"
"C18","Cap","TopLayer","0603_-_CAP","-40.7670mm","58.4200mm","0","Capacitor"
"C17","Cap","TopLayer","0603_-_CAP","-38.1000mm","66.9290mm","270","Capacitor"
"C10","Cap","TopLayer","0603_-_CAP","-34.6710mm","53.9750mm","90","Capacitor"
"C11","Cap","TopLayer","0603_-_CAP","-31.3690mm","53.9750mm","90","Capacitor"
"P4_FCN6","WM4330-ND","TopLayer","FAN_CONNECTOR_4PIN","-3.0480mm","34.7340mm","0","4 Positions Header Connector 0.100" (2.54mm) Through Hole Tin"
"P4_FCN7","WM4330-ND","TopLayer","FAN_CONNECTOR_4PIN","-15.4940mm","34.7340mm","0","4 Positions Header Connector 0.100" (2.54mm) Through Hole Tin"
"P4_FCN8","WM4330-ND","TopLayer","FAN_CONNECTOR_4PIN","-28.0670mm","34.7340mm","0","4 Positions Header Connector 0.100" (2.54mm) Through Hole Tin"
"P4_FCN9","WM4330-ND","TopLayer","FAN_CONNECTOR_4PIN","-40.5130mm","34.7340mm","0","4 Positions Header Connector 0.100" (2.54mm) Through Hole Tin"
"P4_FCN10","WM4330-ND","TopLayer","FAN_CONNECTOR_4PIN","-53.1020mm","34.7340mm","0","4 Positions Header Connector 0.100" (2.54mm) Through Hole Tin"
"R13_FCN6","Res","TopLayer","0603","-6.2230mm","40.3860mm","180","Resistor"
"R13_FCN7","Res","TopLayer","0603","-17.5260mm","40.5130mm","180","Resistor"
"R13_FCN8","Res","TopLayer","0603","-30.2260mm","40.5130mm","180","Resistor"
"R13_FCN9","Res","TopLayer","0603","-42.5450mm","40.5130mm","180","Resistor"
"R13_FCN10","Res","TopLayer","0603","-46.1010mm","40.5130mm","0","Resistor"
"X1","12MHz","TopLayer","XTAL_ABMM2-12.000MHZ-E2-T","-24.6380mm","54.9910mm","270","CRYSTAL 12.0000MHZ 18PF SMD"
"R14","Res","TopLayer","0603","-7.8740mm","53.2130mm","180","Resistor"
"F2","Fuse Thermal","TopLayer","0603","-7.8740mm","51.6890mm","180","Thermal Fuse"
"F1","Fuse Thermal","TopLayer","0603","-7.8740mm","50.1650mm","180","Thermal Fuse"
"R13_FCN5","Res","TopLayer","0603","-1.0160mm","72.8980mm","0","Resistor"
"R13_FCN4","Res","TopLayer","0603","-11.9380mm","72.8980mm","0","Resistor"
"R13_FCN3","Res","TopLayer","0603","-23.4950mm","72.8980mm","0","Resistor"
"R13_FCN2","Res","TopLayer","0603","-36.7030mm","72.8980mm","0","Resistor"
"R13_FCN1","Res","TopLayer","0603","-45.7200mm","72.8980mm","0","Resistor"
"U4","EMC2305-1-AP-TR","TopLayer","QFN16","-15.7890mm","49.6160mm","270","Motor Driver PWM 16-QFN (4x4)"
"U3","EMC2305-1-AP-TR","TopLayer","QFN16","-15.7890mm","63.6270mm","90","Motor Driver PWM 16-QFN (4x4)"
"U2","Raspberry Pi Pico","TopLayer","IC57_RP2040","-32.4104mm","60.4520mm","90","ARM® Cortex®-M0+ - Microcontroller IC 32-Bit Dual-Core 133MHz External Program Memory 56-QFN (7x7)"
"SW2","Switch","TopLayer","Switch-TL1015AF160QG","-24.3840mm","48.0060mm","180","Switch"
"SW1","Switch","TopLayer","Switch-TL1015AF160QG","-24.3840mm","66.4210mm","180","Switch"
"R5","Res","TopLayer","0603","-34.0360mm","49.0220mm","180","Resistor"
"R9","Res","TopLayer","0603","-28.3210mm","69.3420mm","180","Resistor"
"R4","Res","TopLayer","0603","-43.4340mm","69.4690mm","90","Resistor"
"R3","Res","TopLayer","0603","-45.7200mm","70.3580mm","180","Resistor"
"R1","Res","TopLayer","0603","-42.1029mm","65.7837mm","90","Resistor"
